epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,5770.77,1.12298,1.20199,1.49717,0.02127,0.79625,0.76991,0.81406,0.61026,1.05337,1.04792,1.54071,0.02257,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,5855.27,1.10345,1.18309,1.47716,0.02051,0.81185,0.76357,0.81741,0.61522,1.04778,1.04748,1.52792,0.02307,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,5940.64,1.11583,1.19124,1.49265,0.02166,0.81785,0.75619,0.81517,0.60669,1.04066,1.03562,1.53333,0.0222,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,6027.33,1.11013,1.1594,1.48156,0.02166,0.83122,0.75215,0.81862,0.61777,1.03783,1.02819,1.51791,0.02176,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,6112.38,1.09779,1.15603,1.47347,0.02209,0.82123,0.76981,0.8267,0.62478,1.02093,0.99065,1.51235,0.02253,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,6198.05,1.09397,1.16116,1.47729,0.02129,0.80909,0.76819,0.81501,0.6095,1.03985,1.00287,1.52693,0.02238,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,6283.6,1.09942,1.15817,1.47276,0.02113,0.82605,0.76452,0.82118,0.61937,1.02939,0.98571,1.50482,0.02199,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,6368.99,1.09317,1.14726,1.46678,0.0211,0.8143,0.7715,0.82251,0.62012,1.0368,1.00408,1.53155,0.02172,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,6452.48,1.08518,1.14083,1.46521,0.02108,0.82539,0.7779,0.82315,0.6196,1.0236,1.00407,1.51598,0.02252,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,6538.42,1.09622,1.14922,1.46705,0.02114,0.84558,0.76515,0.83172,0.63542,1.00265,0.94623,1.48996,0.02168,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
